time:136.137313460;hint:提示9579 寻零成功 
time:172.234746190;hint:提示2247  作业堆栈已清空，可以正常启动
time:201.852242920;hint:提示2247  作业堆栈已清空，可以正常启动
time:251.471488746;hint:提示2247  作业堆栈已清空，可以正常启动
time:293.676318333;hint:提示9025  数字量输出使能 
time:526.209434715;hint:提示2247  作业堆栈已清空，可以正常启动
time:549.029540941;hint:提示2242  作业不能返回
time:562.796911713;hint:提示2247  作业堆栈已清空，可以正常启动
time:569.495976060;hint:提示2247  作业堆栈已清空，可以正常启动
time:716.259970922;hint:提示2247  作业堆栈已清空，可以正常启动
time:803.660949106;hint:提示2247  作业堆栈已清空，可以正常启动
time:856.960009912;hint:提示2247  作业堆栈已清空，可以正常启动
time:888.757802690;hint:提示2247  作业堆栈已清空，可以正常启动
time:899.911675271;hint:提示9578  用户优先级转换到普通模式
time:948.557477816;hint:提示2247  作业堆栈已清空，可以正常启动
time:962.666039621;hint:提示2247  作业堆栈已清空，可以正常启动
time:1105.767801063;hint:提示2247  作业堆栈已清空，可以正常启动
time:1157.750494375;hint:提示2242  作业不能返回
time:1158.334467314;hint:提示2242  作业不能返回
time:1187.548517630;hint:提示2247  作业堆栈已清空，可以正常启动
time:1202.500664068;hint:提示2247  作业堆栈已清空，可以正常启动
time:1426.968470216;hint:提示2247  作业堆栈已清空，可以正常启动
time:1782.477611153;hint:提示2247  作业堆栈已清空，可以正常启动
time:1862.235061362;hint:提示2247  作业堆栈已清空，可以正常启动
time:29162.740936218;hint:提示6673 请等待日志数据同步...
time:29163.244415151;hint:提示6674 日志同步完成,可以写入文件
time:29163.415713410;hint:提示6661 数据下载中...
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
