Time:
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 416340506; Joint 7: 2.7298190916064604e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.7306164304326613e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 420210829; Joint 7: 2.7313941510803615e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.73215505614649e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 424203514; Joint 7: 2.7328991456310464e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.733626419534031e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 428208771; Joint 7: 2.7343354765569793e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.73502911929682e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 432198104; Joint 7: 2.735705946455089e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 0; Joint 7: 2.736365958031786e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
0.0: Enci 0: 0; Joint 0: 0.0; Roll 0: 0; Enci 1: 0; Joint 1: 0.0; Roll 1: 0; Enci 2: 0; Joint 2: 0.0; Roll 2: 0; Enci 3: 0; Joint 3: 0.0; Roll 3: 0; Enci 4: 0; Joint 4: 0.0; Roll 4: 0; Enci 5: 0; Joint 5: 0.0; Roll 5: 0; Enci 6: 0; Joint 6: 0.0; Roll 6: 0; Enci 7: 436196656; Joint 7: 2.7370105553253754e-39; Roll 7: 0; Enci 8: 0; Joint 8: -227.5; Roll 8: 0; 
