Time:
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
0.0: Enci Bef 0: 0; Enci Aft 0: 0; AWC Joint 0: 0.0; Roll 0: 0; Enci Bef 1: 0; Enci Aft 1: 0; AWC Joint 1: 0.0; Roll 1: 0; Enci Bef 2: 0; Enci Aft 2: 0; AWC Joint 2: 0.0; Roll 2: 0; Enci Bef 3: 0; Enci Aft 3: 0; AWC Joint 3: 0.0; Roll 3: 0; Enci Bef 4: 0; Enci Aft 4: 0; AWC Joint 4: 0.0; Roll 4: 0; Enci Bef 5: 0; Enci Aft 5: 0; AWC Joint 5: 0.0; Roll 5: 0; Enci Bef 6: 0; Enci Aft 6: 0; AWC Joint 6: 0.0; Roll 6: 0; Enci Bef 7: 0; Enci Aft 7: 0; AWC Joint 7: 0.0; Roll 7: 0; Enci Bef 8: 0; Enci Aft 8: 0; AWC Joint 8: 0.0; Roll 8: 0; 
