Time:
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 1.9927787801639224e-27; Enco 2: 317494735; Joint 2: 1.1820227477771498e-27; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 2.7625489048111957e-27; Enco 2: 321494125; Joint 2: 1.5669079063972837e-27; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 3.833786962176342e-27; Enco 2: 325490163; Joint 2: 2.2884829823372275e-27; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 5.373650382515557e-27; Enco 2: 329492905; Joint 2: 3.0582532995774953e-27; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 7.364679070139014e-27; Enco 2: 333486428; Joint 2: 4.425195751708941e-27; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 1.0444405140445466e-26; Enco 2: 337482466; Joint 2: 5.965381957906835e-27; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 1.4123566891106735e-26; Enco 2: 341480179; Joint 2: 8.548141450549594e-27; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 2.0283020572463594e-26; Enco 2: 345477893; Joint 2: 1.1627868291228023e-26; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 2.703555128387088e-26; Enco 2: 349475607; Joint 2: 1.649049319267185e-26; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 3.9357040933454034e-26; Enco 2: 353472483; Joint 2: 2.2649945333284753e-26; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 5.167594829616775e-26; Enco 2: 357471034; Joint 2: 3.176940388700111e-26; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 7.629608760693758e-26; Enco 2: 361468748; Joint 2: 4.409089353658426e-26; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 1.0092873159565033e-25; Enco 2: 365467300; Joint 2: 6.112081351403173e-26; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 1.477458452205048e-25; Enco 2: 369472556; Joint 2: 8.575862207648335e-26; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 0.0; Enco 2: 0; Joint 2: 0.0; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
30.42: Enco 0: 0; Joint 0: 0.0; Enco 1: 0; Joint 1: 1.970111331979303e-25; Enco 2: 373462727; Joint 2: 1.1738496788721537e-25; Enco 3: 0; Joint 3: 0.0; Enco 4: 0; Joint 4: 0.0; Enco 5: 0; Joint 5: 0.0; Enco 6: 0; Joint 6: 0.0; Enco 7: 0; Joint 7: 0.0; Enco 8: 0; Joint 8: 0.0; 
