Time:
55.968143162: Joint 0: 34.002098083496094; Joint 1: 65.32193756103516; Joint 2: -227.5; Joint 3: 704.3082275390625; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
55.972142552: Joint 0: 34.012020111083984; Joint 1: 65.34098815917969; Joint 2: -227.5; Joint 3: 704.513671875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
55.976139426: Joint 0: 34.0217170715332; Joint 1: 65.359619140625; Joint 2: -227.5; Joint 3: 704.714599609375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
55.980137140: Joint 0: 34.03119659423828; Joint 1: 65.37783813476562; Joint 2: -227.5; Joint 3: 704.9109497070312; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
55.984135692: Joint 0: 34.040462493896484; Joint 1: 65.39563751220703; Joint 2: -227.5; Joint 3: 705.1028442382812; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
55.988133405: Joint 0: 34.04951477050781; Joint 1: 65.41302490234375; Joint 2: -227.5; Joint 3: 705.2903442382812; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
55.992130281: Joint 0: 34.05835723876953; Joint 1: 65.43000793457031; Joint 2: -227.5; Joint 3: 705.4735107421875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
55.996128833: Joint 0: 34.06698989868164; Joint 1: 65.44659423828125; Joint 2: -227.5; Joint 3: 705.65234375; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.125709: Joint 0: 34.07542037963867; Joint 1: 65.4627914428711; Joint 2: -227.5; Joint 3: 705.826904296875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.4123422: Joint 0: 34.08364486694336; Joint 1: 65.47859191894531; Joint 2: -227.5; Joint 3: 705.997314453125; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.8122812: Joint 0: 34.09166717529297; Joint 1: 65.49400329589844; Joint 2: -227.5; Joint 3: 706.1635131835938; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.12118012: Joint 0: 34.09949493408203; Joint 1: 65.50904083251953; Joint 2: -227.5; Joint 3: 706.3256225585938; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.16117402: Joint 0: 34.10712432861328; Joint 1: 65.5237045288086; Joint 2: -227.5; Joint 3: 706.4837036132812; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.20115953: Joint 0: 34.11456298828125; Joint 1: 65.5379867553711; Joint 2: -227.5; Joint 3: 706.6377563476562; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.24111153: Joint 0: 34.12181091308594; Joint 1: 65.55191040039062; Joint 2: -227.5; Joint 3: 706.787841796875; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.28110543: Joint 0: 34.128868103027344; Joint 1: 65.56547546386719; Joint 2: -227.5; Joint 3: 706.93408203125; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.32108256: Joint 0: 34.1357421875; Joint 1: 65.57867431640625; Joint 2: -227.5; Joint 3: 707.076416015625; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
