time:1025.718302365;hint:提示1000  驱动器正在初始化，请等待
time:2588.394673722;hint:提示9574 寻零成功 
time:2753.995509058;hint:提示7430   MOTION 执行结束
time:2764.438526967;hint:提示7430   MOTION 执行结束
time:2814.993869715;hint:提示7430   MOTION 执行结束
time:2832.220302054;hint:提示7430   MOTION 执行结束
time:3024.034170259;hint:提示7430   MOTION 执行结束
time:3039.332817064;hint:提示7430   MOTION 执行结束
time:3642.631958069;hint:提示7430   MOTION 执行结束
time:3692.366904601;hint:提示6673 请等待日志数据同步...
time:3692.866255915;hint:提示6674 日志同步完成,可以写入文件
time:3692.980472355;hint:提示6661 数据下载中...
time:3729.549539755;hint:提示6676 日志写入完成
time:3729.549716594;hint:提示6675 已恢复日志记录
time:3845.564885223;hint:提示7430   MOTION 执行结束
time:3855.951972854;hint:提示7430   MOTION 执行结束
time:3871.986558518;hint:提示7430   MOTION 执行结束
time:3888.185035356;hint:提示7430   MOTION 执行结束
time:3895.231475879;hint:提示6673 请等待日志数据同步...
time:3895.735146735;hint:提示6674 日志同步完成,可以写入文件
time:3895.832741234;hint:提示6661 数据下载中...
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
time:0.000000000;hint:
